Protein,Gene,ORF,# peptides,Control Mean,Deplete Mean,Deplete SD,Ratio of means,log2_fold_change,resolved_locus_tag,resolution_method
Chaperone protein dnaK2,dnaK2,Pro_1871,2,0.803148249,0.668760079,0.090730853,0.83267327,-0.2641775827522927,Pro1871,tier1:ORF
DNA-directed RNA polymerase subunit beta',rpoC2,Pro_1638,2,0.886762784,0.825686796,0.298414488,0.931124773,-0.1029535894803625,Pro1638,tier1:ORF
Polyribonucleotide nucleotidyltransferase,pnp,Pro_1307,2,1.004628797,0.692529445,0.222496478,0.689338637,-0.5367152151493094,Pro1307,tier1:ORF
Nitrogen regulatory protein PII,glnK,Pro_1616,2,1.022462137,0.778828152,0.160814657,0.761718331,-0.3926704798364582,Pro1616,tier1:ORF
Predicted HTH of cAMP family transcriptional regulator,,Pro_0884,2,1.109260645,1.40433749,0.108717134,1.266012183,0.3402912880751903,Pro0884,tier1:ORF
Ribosomal protein S1,rpsA,Pro_0351,2,0.876668157,0.768799624,0.08284934,0.876956255,-0.1894232160356042,Pro0351,tier1:ORF
Di/tricarboxylate transporter,citT,Pro_0097,2,0.854804682,1.543822187,0.672023047,1.806052563,0.8528398813436427,Pro0097,tier1:ORF
Glyceraldehyde-3-phosphate dehydrogenase,gap2,Pro_0023,2,1.203301812,1.473752252,0.418759004,1.224756945,0.292495472464733,Pro0023,tier1:ORF
Cell division protein sepF,sepF,Pro_0392,3,1.808057285,2.233032548,0.384245807,1.235045243,0.3045638925437015,Pro0392,tier1:ORF
NAD(P)H-quinone oxidoreductase NdhD subunit,ndhD,Pro_1067,3,1.227098835,0.965956174,0.605428262,0.787186937,-0.3452218148627602,Pro1067,tier1:ORF
DNA polymerase III beta subunit,dnaN,Pro_0001,3,0.718974217,1.871840463,1.617790595,2.603487606,1.380445538740877,Pro0001,tier1:ORF
Elongation factor Tu,tuf,Pro_1664,4,0.872957174,0.759458084,0.091012942,0.869983209,-0.2009405382089837,Pro1664,tier1:ORF
"Peroxiredoxin, AhpC/TSA family",ahpC,Pro_0978,4,0.971397955,0.973560259,0.441946098,1.002225971,0.0032078283794694,Pro0978,tier1:ORF
groEL protein 2,groEL2,Pro_1589,5,1.193540559,0.708672353,0.23352672,0.593756406,-0.7520569213276539,Pro1589,tier1:ORF
Predicted protein,,Pro_1561,5,1.037820281,1.385845165,0.325543678,1.33534215,0.4172094459306769,Pro1561,tier1:ORF
Photosystem II manganese-stabilizing protein PsbO,psbO,Pro_0257,5,0.861271865,0.90179776,0.274016641,1.047053546,0.0663352231410621,Pro0257,tier1:ORF
Chromosomal replication initiator protein dnaA,dnaA,Pro_0567,6,1.29925928,1.688480093,0.338321758,1.299571316,0.3780358061197985,Pro0567,tier1:ORF
groES protein,groES,Pro_1590,6,0.998635407,0.676202183,0.165025667,0.677126184,-0.562503386540955,Pro1590,tier1:ORF
Ribulose bisphosphate carboxylase large chain,rbcL,Pro_0551,6,1.020187843,1.248650626,0.183591775,1.22394188,0.2915350519630985,Pro0551,tier1:ORF
Predicted membrane protein,,Pro_1722,6,0.91452671,1.686637941,0.574341737,1.844274118,0.883053102235867,Pro1722,tier1:ORF
"Ferredoxin-NADP oxidoreductase, PetH",petH,Pro_1123,6,0.892459284,0.946983244,0.069689818,1.061094059,0.0855525473349455,Pro1123,tier1:ORF
ATP synthase subunit alpha,atpA,Pro_1604,7,0.763563919,0.62026054,0.096754131,0.812323009,-0.2998745856785578,Pro1604,tier1:ORF
ATP synthase subunit beta,atpD/B,Pro_1591,7,0.971387421,0.760745022,0.087428662,0.783153051,-0.3526338150321808,Pro1591,tier1:ORF
Predicted protein,,Pro_0803,7,1.423284187,1.056208468,0.144096969,0.742092463,-0.4303291403852057,Pro0803,tier1:ORF
Photosystem I reaction center subunit II PsaD,psaD,Pro_1733,8,0.982429173,1.616719835,0.149146357,1.645635003,0.7186443857264896,Pro1733,tier1:ORF
Adhesin-like protein,,Pro_1563,8,1.400013847,1.549476386,0.368344368,1.1067579,0.1463396713803427,Pro1563,tier1:ORF
AbrB family transciptional regulator,AbrB,Pro_1459,9,1.345003329,0.95425886,0.192970142,0.709484385,-0.4951571624422219,Pro1459,tier1:ORF
Glutamine synthetase,glnA,Pro_1038,9,1.330500236,1.005358183,0.075691959,0.755624205,-0.4042591783990976,Pro1038,tier1:ORF
Photosystem I reaction center subunit IV,psaE,Pro_0371,11,1.024710415,0.809410346,0.230318452,0.789891792,-0.3402730641766098,Pro0371,tier1:ORF
Bacterial nucleoid DNA-binding protein,himA,Pro_1401,13,1.032454853,0.691578004,0.052218804,0.669838494,-0.5781148082617554,Pro1401,tier1:ORF
50S ribosomal protein L7/L12,rplL,Pro_0227,16,1.081170859,0.730959776,0.09795409,0.676081648,-0.5647306086584836,Pro0227,tier1:ORF
Porin homolog,,Pro_0737,16,1.885423754,2.896924005,0.72381815,1.536484304,0.6196330291130917,Pro0737,tier1:ORF
Carboxysome shell protein CsoS1,csoS1,Pro_0550,34,1.110273203,1.124758699,0.1845945,1.013046786,0.018700804318237,Pro0550,tier1:ORF
Porin homolog,,Pro_1269,34,1.357609357,1.638171587,0.313307274,1.206659028,0.27101806374086,Pro1269,tier1:ORF
